operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,event_time
0,0.001,0.963,1,0.999,0.976,0.994,0.587,1,1,192
0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1,287
0,0.001,0.965,1,0.999,0.962,0.994,0.913,1,1,179
0,0,0.977,1,0.999,0.967,0.994,0.923,1,1,189
0,0.001,0.972,1,0.999,0.976,0.994,0.817,1,1,269
0,0,0.983,1,0.999,0.972,0.994,0.569,1,1,188
0,0,0.983,1,0.999,0.951,0.994,0.666,1,1,259
0,0,0.976,1,0.999,0.975,0.994,0.611,1,1,150
0,0.001,0.966,1,1,0.963,0.995,0.991,1,1,201
0,0,0.986,1,0.999,0.962,0.994,0.751,1,1,222
0,0.001,0.976,1,0.999,0.97,0.994,0.829,1,1,240
0,0,0.983,1,0.999,0.961,0.994,0.614,1,1,170
0,0,0.971,1,0.999,0.973,0.994,0.815,1,1,163
0,0,0.964,1,0.999,0.982,0.994,0.78,1,1,180
0,0.001,0.98,1,0.999,0.98,0.994,0.613,1,1,207
0,0,0.969,1,0.999,0.978,0.994,0.635,1,1,209
0,0,0.976,1,0.999,0.959,0.994,0.875,1,1,276
0,0,0.965,1,1,0.955,0.994,0.975,1,1,195
0,0.001,0.98,1,0.999,0.974,0.994,0.601,1,1,158
0,0,0.972,1,0.999,0.967,0.994,0.66,1,1,234
0,0.001,0.977,1,0.999,0.957,0.994,0.844,1,1,195
0,0,0.97,1,0.999,0.968,0.994,0.63,1,1,202
0,0.001,0.974,1,0.999,0.97,0.994,0.626,1,1,168
0,0.001,0.972,1,0.999,0.97,0.994,0.607,1,1,147
0,0.001,0.977,1,0.999,0.964,0.994,0.81,1,1,230
0,0.001,0.976,1,0.999,0.958,0.994,0.839,1,1,199
0,0.001,0.968,1,0.999,0.976,0.994,0.811,1,1,156
0,0,0.974,1,0.999,0.957,0.994,0.712,1,1,165
0,0,0.987,1,0.999,0.969,0.994,0.611,1,1,163
0,0.001,1,1,0.999,0.969,0.994,0.604,1,1,194
0,0,0.959,1,0.999,0.982,0.994,0.601,1,1,234
0,0,0.983,1,0.999,1,0.994,0.689,1,1,191
0,0,0.979,1,0.999,0.978,0.994,0.625,1,1,200
0,0.001,0.981,1,0.999,0.983,0.994,0.858,1,1,195
0,0.001,0.974,1,0.999,0.961,0.994,0.714,1,1,181
0,0,0.976,1,0.999,0.976,0.994,0.618,1,1,158
0,0,0.959,1,0.999,0.989,0.994,0.6,1,1,170
0,0.001,0.96,1,0.999,0.999,0.994,0.829,1,1,194
0,0.001,0.965,1,0.999,0.977,0.994,0.577,1,1,128
0,0,0.978,1,0.999,0.956,0.994,0.795,1,1,188
0,0,0.967,1,0.999,0.983,0.994,0.821,1,1,216
0,0.001,0.964,1,0.999,0.951,0.994,0.639,1,1,196
0,0.001,0.964,1,0.999,0.956,0.994,0.592,1,1,207
0,0,0.993,1,0.999,0.958,0.994,0.687,1,1,192
0,0,0.991,1,0.999,0.979,0.994,0.698,1,1,158
0,0.001,0.98,1,0.999,0.973,0.994,0.603,1,1,256
0,0,0.979,1,0.999,0.978,0.994,0.735,1,1,214
0,0,0.984,1,1,0.952,0.995,0.992,1,1,231
0,0,0.978,1,0.999,0.976,0.994,0.649,1,1,215
0,0.001,0.98,1,0.999,0.955,0.994,0.789,1,1,198
0,0.001,0.966,1,1,0.944,0.995,1,1,1,213
0,0,0.987,1,0.999,0.969,0.994,0.747,1,1,213
0,0,0.952,1,0.999,0.969,0.994,0.858,1,1,195
0,0,0.978,1,0.999,0.967,0.994,0.834,1,1,257
0,0.001,0.979,1,0.999,0.97,0.994,0.918,1,1,193
0,0.001,0.963,1,0.999,0.968,0.994,0.827,1,1,275
0,0,0.976,1,0.999,0.976,0.994,0.581,1,1,137
0,0.001,0.991,1,0.999,0.983,0.994,0.607,1,1,147
0,0,0.959,1,0.999,0.966,0.994,0.656,1,1,231
0,0.001,0.981,1,0.999,0.957,0.994,0.801,1,1,172
0,0.001,0.96,1,0.999,0.974,0.994,0.584,1,1,185
0,0,0.963,1,0.999,0.968,0.994,0.615,1,1,180
0,0,0.956,1,0.999,0.972,0.994,0.877,1,1,174
0,0,0.959,1,0.999,0.967,0.994,0.747,1,1,283
0,0,0.977,1,0.999,0.961,0.994,0.584,1,1,153
0,0.001,0.968,1,0.999,0.97,0.994,0.671,1,1,202
0,0,0.957,1,0.999,0.978,0.994,0.666,1,1,313
0,0,0.97,1,0.999,0.968,0.994,0.848,1,1,199
0,0.001,0.965,1,0.999,0.955,0.994,0.617,1,1,362
0,0.001,0.983,1,0.999,0.968,0.994,0.729,1,1,137
0,0.001,0.99,1,0.999,0.955,0.994,0.845,1,1,208
0,0,0.964,1,0.999,0.969,0.994,0.57,1,1,213
0,0.001,0.967,1,0.999,0.964,0.994,0.595,1,1,213
0,0.001,0.973,1,0.999,0.96,0.994,0.616,1,1,166
0,0.001,0.978,1,0.999,0.973,0.994,0.573,1,1,229
0,0.001,0.975,1,0.999,0.975,0.994,0.633,1,1,210
0,0,0.953,1,0.999,0.961,0.994,0.672,1,1,154
0,0.001,0.966,1,0.999,0.973,0.994,0.7,1,1,231
0,0,0.988,1,0.999,0.971,0.994,0.71,1,1,199
0,0.001,0.948,1,0.999,0.958,0.994,0.855,1,1,185
0,0,0.953,1,0.999,0.964,0.994,0.629,1,1,240
0,0.001,0.964,1,0.999,0.98,0.994,0.942,1,1,214
0,0,0.972,1,0.999,0.972,0.994,0.597,1,1,293
0,0.001,0.97,1,0.999,0.969,0.994,0.675,1,1,267
0,0.001,0.983,1,0.999,0.969,0.994,0.617,1,1,188
0,0,0.958,1,0.999,0.968,0.994,0.68,1,1,278
0,0.001,0.978,1,0.999,0.963,0.994,0.61,1,1,178
0,0.001,0.975,1,0.999,0.989,0.994,0.817,1,1,213
0,0,0.973,1,0.999,0.988,0.994,0.686,1,1,217
0,0,0.98,1,0.999,0.989,0.994,0.587,1,1,154
0,0,0.976,1,0.999,0.981,0.994,0.597,1,1,135
0,0,0.965,1,0.999,0.955,0.994,0.792,1,1,341
0,0.001,0.966,1,0.999,0.971,0.994,0.646,1,1,155
0,0.001,0.958,1,0.999,0.976,0.994,0.829,1,1,258
0,0.001,0.972,1,0.999,0.968,0.994,0.751,1,1,283
0,0,0.976,1,0.999,0.969,0.994,0.662,1,1,336
0,0.001,0.963,1,0.999,0.948,0.994,0.932,1,1,202
0,0,0.976,1,0.999,0.979,0.994,0.613,1,1,156
0,0,0.948,1,0.999,0.979,0.994,0.625,1,1,185
0,0,0.976,1,0.999,0.971,0.994,0.647,1,1,200
1,0.999,0.237,0.002,0.626,0.496,0.992,0.486,1,0,149
1,0.999,0.229,0.003,0.628,0.485,0.995,0.586,1,0,269
1,0.998,0.225,0.003,0.627,0.503,0.993,0.522,1,0,206
0,0.001,0.965,1,0.999,0.976,0.994,0.823,1,1,235
1,0.999,0.23,0.003,0.629,0.487,0.997,0.678,1,0,154
1,0.998,0.228,0.002,0.626,0.5,0.992,0.486,1,0,175
1,0.998,0.227,0.003,0.63,0.486,0.997,0.725,1,0,174
0.595,0.736,0.008,0.21,0.001,0.018,0.002,0.07,0,0,151
0.238,0.3,0.714,0.616,0.853,0.794,0.995,0.569,1,1,199
0,0.001,0.957,1,0.999,0.975,0.994,0.61,1,1,184
1,0.998,0.224,0.003,0.63,0.501,0.997,0.716,1,0,271
0.238,0.297,0.7,0.616,0.853,0.801,0.995,0.635,1,1,249
0.833,0.998,0.228,0.146,0.65,0.487,0.993,0.462,1,0,227
1,0.998,0.229,0.003,0.626,0.488,0.991,0.463,1,0,193
0,0.001,0.965,1,0.999,0.95,0.994,0.746,1,1,209
0.595,0.737,0.007,0.21,0,0.03,0.001,0.028,0,0,154
1,0.999,0.227,0.003,0.628,0.483,0.994,0.564,1,0,180
0.238,0.297,0.711,0.616,0.853,0.786,0.994,0.594,1,1,209
1,0.998,0.237,0.003,0.632,0.499,1,0.834,1,0,163
0,0.001,0.983,1,0.999,0.972,0.994,0.622,1,1,154
0.833,0.998,0.219,0.146,0.652,0.458,0.996,0.597,1,0,189
1,0.998,0.227,0.003,0.626,0.519,0.993,0.515,1,0,192
1,0.999,0.213,0.003,0.631,0.483,0.999,0.767,1,0,211
1,1,0.22,0.003,0.631,0.479,0.999,0.763,1,0,191
0.238,0.299,0.693,0.616,0.854,0.786,0.994,0.628,1,1,205
0.595,0.737,0.022,0.21,0.001,0.029,0.001,0.057,0,0,187
1,1,0.208,0.003,0.63,0.493,0.998,0.741,1,0,176
0.238,0.297,0.719,0.616,0.853,0.78,0.995,0.574,1,1,200
0.238,0.297,0.732,0.616,0.854,0.789,0.995,0.602,1,1,151
0.238,0.297,0.715,0.616,0.853,0.788,0.995,0.664,1,1,166
0,0.001,0.964,1,0.999,0.962,0.994,0.799,1,1,343
0,0.002,0.948,1,0.999,0.969,0.994,0.781,1,1,281
1,1,0.223,0.003,0.629,0.491,0.996,0.674,1,0,195
0.238,0.299,0.709,0.616,0.853,0.783,0.995,0.628,1,1,205
1,0.998,0.232,0.003,0.63,0.482,0.997,0.711,1,0,196
0.238,0.299,0.711,0.616,0.854,0.785,0.994,0.589,1,1,203
0,0.001,0.963,1,0.999,0.973,0.994,0.611,1,1,210
1,0.998,0.232,0.002,0.626,0.492,0.992,0.49,1,0,177
1,0.998,0.208,0.003,0.626,0.502,0.993,0.502,1,0,214
1,1,0.215,0.003,0.627,0.483,0.994,0.564,1,0,193
0.833,0.999,0.245,0.146,0.651,0.491,0.995,0.536,1,0,262
1,0.998,0.215,0.003,0.627,0.502,0.993,0.526,1,0,221
1,0.999,0.214,0.003,0.631,0.473,0.999,0.787,1,0,211
0.595,0.737,0.027,0.21,0.002,0.023,0.003,0.113,0,0,205
0.833,0.998,0.22,0.146,0.649,0.489,0.992,0.436,1,0,151
1,0.998,0.226,0.003,0.629,0.483,0.997,0.666,1,0,201
1,0.999,0.219,0.003,0.63,0.486,0.998,0.758,1,0,246
1,0.999,0.228,0.003,0.631,0.484,0.999,0.755,1,0,239
0.238,0.297,0.713,0.616,0.853,0.79,0.994,0.668,1,1,168
1,0.999,0.241,0.003,0.626,0.485,0.992,0.498,1,0,222
1,0.998,0.245,0.003,0.627,0.482,0.994,0.568,1,0,293
1,0.998,0.232,0.003,0.63,0.493,0.998,0.714,1,0,174
0,0.001,0.979,1,0.999,0.977,0.994,0.63,1,1,148
1,0.998,0.203,0.003,0.627,0.505,0.993,0.531,1,0,199
0.595,0.739,0.005,0.21,0.002,0.022,0.003,0.116,0,0,159
0.238,0.297,0.713,0.616,0.854,0.796,0.995,0.617,1,1,163
0.238,0.298,0.72,0.616,0.853,0.793,0.995,0.64,1,1,140
1,0.998,0.209,0.002,0.626,0.502,0.992,0.483,1,0,162
1,0.999,0.224,0.003,0.629,0.471,0.996,0.663,1,0,194
0.476,0.832,0.564,0.501,0.864,0.692,0.994,0.412,1,1,177
1,1,0.225,0.003,0.632,0.494,1,0.823,1,0,218
1,0.999,0.222,0.003,0.628,0.514,0.994,0.58,1,0,184
0.595,0.736,0.016,0.21,0.001,0.026,0.001,0.035,0,0,168
0,0.001,0.974,1,0.999,0.975,0.994,0.599,1,1,282
1,0.998,0.225,0.003,0.629,0.502,0.996,0.649,1,0,206
1,0.998,0.234,0.003,0.627,0.492,0.993,0.52,1,0,170
0.595,0.736,0.005,0.21,0,0.038,0,0.015,0,0,145
1,0.998,0.244,0.003,0.629,0.502,0.997,0.684,1,0,185
1,0.998,0.218,0.003,0.626,0.492,0.992,0.509,1,0,136
0.595,0.736,0.01,0.21,0.001,0.01,0.001,0.018,0,0,156
0,0.001,0.961,1,0.999,0.969,0.994,0.713,1,1,194
1,1,0.218,0.003,0.627,0.492,0.992,0.503,1,0,196
1,0.998,0.22,0.003,0.629,0.482,0.996,0.676,1,0,239
0.238,0.298,0.701,0.616,0.854,0.793,0.995,0.573,1,1,158
0,0.001,0.969,1,0.999,0.977,0.994,0.685,1,1,231
1,0.998,0.235,0.003,0.627,0.485,0.993,0.518,1,0,244
0,0.003,0.983,1,0.999,0.983,0.994,0.613,1,1,185
1,0.999,0.193,0.003,0.628,0.491,0.995,0.603,1,0,161
0,0.001,0.984,1,0.999,0.998,0.994,0.626,1,1,181
1,0.998,0.212,0.003,0.626,0.493,0.993,0.511,1,0,221
1,0.998,0.224,0.003,0.629,0.49,0.996,0.68,1,0,288
1,0.998,0.216,0.003,0.627,0.488,0.994,0.565,1,0,200
0.476,0.832,0.557,0.501,0.864,0.695,0.994,0.429,1,1,170
1,0.998,0.219,0.003,0.629,0.479,0.997,0.676,1,0,259
0.833,0.998,0.221,0.146,0.65,0.482,0.993,0.456,1,0,347
1,0.999,0.244,0.003,0.628,0.494,0.994,0.57,1,0,190
0,0.001,0.958,1,0.999,0.976,0.994,0.622,1,1,170
1,0.998,0.228,0.003,0.628,0.498,0.994,0.589,1,0,365
0.238,0.298,0.709,0.616,0.853,0.781,0.994,0.586,1,1,188
0.238,0.297,0.721,0.616,0.853,0.801,0.994,0.676,1,1,188
0.595,0.738,0.015,0.21,0.001,0.021,0.001,0.028,0,0,245
0.833,0.998,0.236,0.146,0.65,0.479,0.994,0.473,1,0,188
1,0.998,0.209,0.003,0.627,0.493,0.993,0.518,1,0,189
1,0.999,0.218,0.003,0.63,0.484,0.997,0.68,1,0,306
0,0.001,0.971,1,0.999,0.98,0.994,0.907,1,1,198
1,0.999,0.221,0.003,0.628,0.496,0.995,0.586,1,0,208
0.238,0.297,0.722,0.616,0.854,0.782,0.995,0.602,1,1,145
0.833,0.998,0.239,0.146,0.65,0.482,0.993,0.468,1,0,167
0,0.001,0.968,1,0.999,0.979,0.994,0.608,1,1,202
1,0.999,0.232,0.003,0.628,0.495,0.994,0.568,1,0,212
0.238,0.297,0.698,0.616,0.853,0.79,0.995,0.721,1,1,211
1,0.998,0.239,0.003,0.63,0.493,0.997,0.683,1,0,164
0.476,0.832,0.544,0.501,0.864,0.707,0.994,0.45,1,1,280
1,0.998,0.239,0.003,0.629,0.498,0.997,0.66,1,0,228
1,0.998,0.236,0.003,0.631,0.487,0.999,0.788,1,0,303
1,0.998,0.237,0.003,0.629,0.5,0.997,0.678,1,0,272
0.476,0.833,0.551,0.501,0.864,0.686,0.994,0.433,1,1,145
0.238,0.297,0.705,0.616,0.854,0.788,0.995,0.682,1,1,156
1,0.998,0.213,0.003,0.628,0.493,0.995,0.586,1,0,220
1,0.998,0.229,0.003,0.63,0.489,0.997,0.703,1,0,221
0.238,0.297,0.721,0.616,0.854,0.794,0.994,0.557,1,1,200
0,0.003,0.977,1,0.999,0.978,0.994,0.709,1,1,378
1,0.998,0.217,0.003,0.627,0.501,0.993,0.521,1,0,232
0.476,0.831,0.56,0.501,0.866,0.695,0.997,0.737,1,1,203
1,1,0.225,0.003,0.627,0.48,0.994,0.556,1,0,206
0,0.001,0.962,1,0.999,0.962,0.994,0.623,1,1,207
0.476,0.831,0.559,0.501,0.864,0.701,0.994,0.447,1,1,177
1,0.998,0.213,0.003,0.629,0.486,0.996,0.621,1,0,344
1,1,0.227,0.003,0.629,0.465,0.996,0.631,1,0,174
1,0.998,0.209,0.002,0.626,0.486,0.991,0.477,1,0,129
0,0.001,0.971,1,0.999,0.979,0.994,0.615,1,1,210
0,0.003,0.96,1,0.999,0.981,0.994,0.628,1,1,185
1,0.998,0.212,0.003,0.629,0.474,0.996,0.658,1,0,226
1,0.999,0.225,0.003,0.63,0.494,0.998,0.739,1,0,267
1,0.999,0.226,0.003,0.628,0.478,0.994,0.573,1,0,168
1,0.998,0.225,0.003,0.628,0.499,0.994,0.583,1,0,199
0.238,0.297,0.71,0.616,0.854,0.795,0.995,0.561,1,1,256
0.238,0.298,0.704,0.616,0.853,0.794,0.995,0.744,1,1,303
1,0.999,0.223,0.003,0.626,0.48,0.992,0.494,1,0,202
0.595,0.736,0.024,0.21,0,0.015,0,0.007,0,0,182
0.476,0.832,0.548,0.501,0.865,0.708,0.995,0.598,1,1,280
0,0.002,0.96,1,0.999,0.975,0.994,0.617,1,1,183
1,0.998,0.207,0.003,0.626,0.487,0.992,0.49,1,0,159
0.476,0.831,0.546,0.501,0.864,0.724,0.994,0.458,1,1,247
1,0.998,0.216,0.003,0.628,0.48,0.995,0.602,1,0,294
1,1,0.221,0.002,0.626,0.495,0.992,0.501,1,0,160
1,0.999,0.228,0.003,0.626,0.503,0.992,0.488,1,0,148
0.595,0.739,0.024,0.21,0.002,0.01,0.002,0.071,0,0,200
0,0.001,0.971,1,0.999,0.957,0.994,0.762,1,1,194
1,0.998,0.215,0.003,0.627,0.507,0.993,0.512,1,0,214
0,0.001,0.97,1,0.999,0.986,0.994,0.621,1,1,163
1,0.998,0.244,0.003,0.627,0.492,0.994,0.561,1,0,208
0,0.001,0.987,1,0.999,0.968,0.994,0.601,1,1,166
1,0.998,0.226,0.003,0.627,0.474,0.993,0.532,1,0,224
1,0.998,0.231,0.003,0.63,0.494,0.997,0.709,1,0,251
0.238,0.297,0.726,0.616,0.853,0.805,0.994,0.665,1,1,263
0.595,0.738,0.026,0.21,0.001,0.01,0.001,0.051,0,0,207
1,0.998,0.244,0.003,0.629,0.493,0.995,0.634,1,0,279
1,1,0.208,0.003,0.628,0.49,0.995,0.613,1,0,289
1,0.998,0.222,0.003,0.631,0.482,0.999,0.805,1,0,222
0.833,1,0.24,0.146,0.65,0.486,0.993,0.471,1,0,177
0,0.001,0.991,1,0.999,0.962,0.994,0.6,1,1,184
0.238,0.297,0.707,0.616,0.853,0.804,0.995,0.645,1,1,292
1,0.998,0.227,0.003,0.626,0.489,0.991,0.463,1,0,193
0,0.001,0.972,1,0.999,0.962,0.994,0.665,1,1,226
1,0.998,0.216,0.003,0.627,0.513,0.994,0.564,1,0,299
0.238,0.297,0.725,0.616,0.853,0.778,0.994,0.688,1,1,237
0.238,0.297,0.704,0.616,0.853,0.796,0.995,0.648,1,1,308
1,0.998,0.229,0.003,0.63,0.492,0.997,0.684,1,0,241
1,0.998,0.253,0.003,0.63,0.509,0.997,0.692,1,0,212
1,0.998,0.208,0.003,0.627,0.483,0.993,0.539,1,0,224
0.238,0.297,0.717,0.616,0.853,0.776,0.995,0.713,1,1,194
1,0.998,0.213,0.003,0.628,0.502,0.994,0.574,1,0,203
1,0.999,0.228,0.002,0.627,0.488,0.993,0.512,1,0,249
0.833,0.998,0.231,0.146,0.651,0.475,0.994,0.495,1,0,165
1,0.998,0.225,0.003,0.626,0.493,0.992,0.493,1,0,204
0.238,0.298,0.695,0.616,0.853,0.798,0.995,0.665,1,1,232
1,0.998,0.246,0.003,0.627,0.497,0.994,0.561,1,0,217
1,0.998,0.226,0.003,0.629,0.479,0.996,0.634,1,0,185
1,0.999,0.217,0.003,0.627,0.5,0.993,0.533,1,0,179
1,0.998,0.221,0.003,0.63,0.489,0.997,0.71,1,0,258
1,1,0.224,0.003,0.629,0.496,0.996,0.658,1,0,174
0,0.001,0.961,1,0.999,0.982,0.994,0.584,1,1,151
1,0.998,0.235,0.003,0.629,0.479,0.997,0.671,1,0,193
0.238,0.297,0.716,0.616,0.853,0.774,0.994,0.813,1,1,202
0.476,0.831,0.553,0.501,0.864,0.707,0.994,0.46,1,1,164
1,0.998,0.231,0.003,0.629,0.478,0.996,0.653,1,0,181
0.238,0.299,0.691,0.616,0.853,0.785,0.995,0.571,1,1,148
0.238,0.299,0.714,0.616,0.853,0.78,0.995,0.601,1,1,181
1,0.998,0.221,0.003,0.631,0.492,0.999,0.784,1,0,297
0,0.001,0.986,1,0.999,0.962,0.994,0.613,1,1,255
0.238,0.299,0.728,0.616,0.853,0.781,0.995,0.589,1,1,200
1,0.998,0.229,0.003,0.627,0.497,0.993,0.531,1,0,207
1,0.998,0.23,0.003,0.63,0.469,0.998,0.725,1,0,171
0.833,0.998,0.209,0.146,0.65,0.486,0.994,0.477,1,0,162
1,0.998,0.24,0.003,0.63,0.497,0.998,0.725,1,0,194
1,0.998,0.223,0.003,0.626,0.486,0.992,0.506,1,0,168
0.476,0.831,0.549,0.501,0.864,0.698,0.994,0.452,1,1,148
0.238,0.297,0.705,0.616,0.853,0.794,0.995,0.584,1,1,209
0.238,0.299,0.71,0.616,0.853,0.787,0.995,0.582,1,1,257
1,0.998,0.229,0.003,0.629,0.488,0.997,0.684,1,0,219
0.238,0.297,0.705,0.616,0.853,0.798,0.995,0.56,1,1,133
1,0.998,0.224,0.003,0.629,0.477,0.996,0.672,1,0,172
0.238,0.299,0.702,0.616,0.854,0.78,0.995,0.56,1,1,148
1,0.998,0.225,0.003,0.628,0.494,0.995,0.593,1,0,190
0.238,0.297,0.691,0.616,0.853,0.788,0.994,0.634,1,1,239
0.238,0.3,0.707,0.616,0.853,0.779,0.995,0.598,1,1,154
1,0.998,0.21,0.003,0.626,0.478,0.992,0.522,1,0,205
0.238,0.298,0.7,0.616,0.854,0.774,0.994,0.783,1,1,219
1,0.998,0.222,0.003,0.628,0.474,0.995,0.608,1,0,227
0.833,0.999,0.251,0.146,0.654,0.467,0.998,0.677,1,0,191
0.476,0.833,0.577,0.501,0.864,0.697,0.995,0.514,1,1,197
1,0.998,0.233,0.003,0.626,0.503,0.993,0.496,1,0,269
1,0.998,0.208,0.003,0.629,0.505,0.996,0.646,1,0,237
0.833,0.998,0.243,0.146,0.65,0.486,0.993,0.465,1,0,198
1,0.998,0.213,0.003,0.632,0.484,1,0.807,1,0,221
1,0.998,0.231,0.003,0.627,0.489,0.994,0.568,1,0,184
0.595,0.736,0,0.21,0.001,0.017,0.001,0.045,0,0,150
1,0.998,0.249,0.003,0.627,0.49,0.993,0.557,1,0,201
1,0.998,0.207,0.003,0.627,0.488,0.993,0.538,1,0,184
1,0.998,0.236,0.003,0.63,0.493,0.998,0.733,1,0,214
0.595,0.736,0.031,0.21,0,0.022,0,0.016,0,0,149
1,0.998,0.236,0.003,0.631,0.479,0.999,0.812,1,0,196
1,0.999,0.22,0.003,0.628,0.497,0.994,0.582,1,0,146
1,0.999,0.224,0.003,0.631,0.496,0.999,0.756,1,0,226
0,0.001,0.974,1,0.999,0.975,0.994,0.665,1,1,229
0.476,0.831,0.566,0.501,0.864,0.7,0.994,0.45,1,1,162
0,0.001,0.982,1,0.999,0.976,0.994,0.733,1,1,237
1,0.998,0.23,0.003,0.626,0.488,0.992,0.519,1,0,156
1,0.998,0.237,0.003,0.627,0.49,0.993,0.525,1,0,234
1,0.998,0.231,0.003,0.629,0.49,0.996,0.641,1,0,178
0.238,0.298,0.713,0.616,0.853,0.784,0.995,0.603,1,1,195
1,0.998,0.221,0.003,0.63,0.492,0.997,0.707,1,0,218
0.476,0.834,0.544,0.501,0.864,0.701,0.994,0.452,1,1,174
0.238,0.297,0.712,0.616,0.853,0.777,0.995,0.632,1,1,156
1,0.998,0.228,0.002,0.627,0.491,0.993,0.521,1,0,178
1,0.998,0.233,0.003,0.629,0.486,0.996,0.647,1,0,184
1,0.998,0.229,0.003,0.629,0.512,0.997,0.675,1,0,262
1,1,0.235,0.003,0.627,0.492,0.993,0.522,1,0,176
1,0.998,0.22,0.003,0.628,0.489,0.994,0.586,1,0,186
0,0.003,0.966,1,0.999,0.971,0.994,0.596,1,1,144
1,0.998,0.229,0.003,0.629,0.482,0.996,0.67,1,0,242
1,0.998,0.224,0.003,0.629,0.487,0.997,0.671,1,0,190
0.238,0.297,0.721,0.616,0.853,0.789,0.995,0.578,1,1,159
0,0.001,0.979,1,0.999,0.963,0.994,0.604,1,1,183
1,0.999,0.217,0.003,0.627,0.505,0.993,0.523,1,0,239
1,0.998,0.223,0.003,0.628,0.477,0.994,0.582,1,0,209
0.833,0.998,0.247,0.146,0.65,0.487,0.993,0.45,1,0,156
0.238,0.297,0.719,0.616,0.853,0.795,0.995,0.681,1,1,263
0,0.001,0.95,1,0.999,0.964,0.994,0.62,1,1,266
0.238,0.299,0.732,0.616,0.854,0.773,0.994,0.765,1,1,183
1,0.998,0.239,0.003,0.631,0.483,0.999,0.763,1,0,273
1,0.999,0.214,0.003,0.63,0.504,0.997,0.706,1,0,230
0,0.001,0.975,1,0.999,0.97,0.994,0.571,1,1,128
1,0.999,0.221,0.003,0.628,0.499,0.995,0.623,1,0,253
1,0.998,0.22,0.003,0.628,0.492,0.995,0.607,1,0,194
0.595,0.736,0.026,0.21,0.002,0.012,0.002,0.088,0,0,197
0,0.001,0.969,1,0.999,0.983,0.994,0.671,1,1,234
1,0.998,0.219,0.003,0.629,0.49,0.996,0.662,1,0,202
0.595,0.736,0.026,0.21,0,0.024,0,0,0,0,184
1,0.998,0.228,0.003,0.629,0.482,0.996,0.663,1,0,266
